gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1990312739	032f1fbe-d21f-407d-be46-5cd1bb1ea397	e1496e3e-8afb-4818-a9f6-b258369e1c10	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus nigripedes		SPECIES	Cantharellus nigripedes Cleland & Cheel	SE	Garpenberg	61c539d8-47e0-4b82-875f-b95aad66dcd4	60.3125	16.193056							1974-08-30T00:00:00Z	30	8	1974	5467041	5467041	PRESERVED_SPECIMEN	TENN	TENN-F	TENN-F-039809	RHP39809			CC0_1_0		R.H. Petersen			2019-02-01T16:25:01.711Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1838500727	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70459894	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Mölle mosse norr om	b8323864-602a-4a7d-9127-bb903054e97d	56.287929	12.508483	100.0						1990-06-02T00:00:00Z	2	6	1990	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113698987				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-27T09:22:04.699Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1838466857	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70434955	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Mölle mosse norr om	b8323864-602a-4a7d-9127-bb903054e97d	56.287929	12.508483	100.0						1989-08-06T00:00:00Z	6	8	1989	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113664965				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-27T09:21:53.290Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1838466852	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70434954	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Mölle mosse norr om	b8323864-602a-4a7d-9127-bb903054e97d	56.287929	12.508483	100.0						1989-08-12T00:00:00Z	12	8	1989	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113664964				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-27T09:21:53.308Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1838466825	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70434957	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Djupadalsrännan, branterna öster om	b8323864-602a-4a7d-9127-bb903054e97d	56.295397	12.495233	100.0						1989-09-19T00:00:00Z	19	9	1989	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113664967				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-27T09:21:53.208Z		GEODETIC_DATUM_ASSUMED_WGS84
1837683431	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70388687	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Larås 250 m nordöst om	b8323864-602a-4a7d-9127-bb903054e97d	56.283087	12.518922	100.0						1988-09-21T00:00:00Z	21	9	1988	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113607555				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-08T03:42:22.058Z		GEODETIC_DATUM_ASSUMED_WGS84
1837683076	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70386678	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Larås 250 m nordöst om	b8323864-602a-4a7d-9127-bb903054e97d	56.283087	12.518922	100.0						1987-07-02T00:00:00Z	2	7	1987	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113606972				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-08T03:42:21.874Z		GEODETIC_DATUM_ASSUMED_WGS84
1837028893	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:70126723	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Hjorthagen	b8323864-602a-4a7d-9127-bb903054e97d	56.296947	12.482819	100.0						1992-08-23T00:00:00Z	23	8	1992	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	113392237				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T13:28:01.218Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1836343313	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:16712053	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	tesdt_141007c	b8323864-602a-4a7d-9127-bb903054e97d	60.084814	18.800311	250.0						1990-01-01T00:00:00Z	1	1	1990	5249504	5249504	HUMAN_OBSERVATION	Sveriges mykologiska förening	Artportalen	113274587				CC0_1_0	Sveriges mykologiska förening	Markyl Kyletoft			2018-12-09T13:21:30.418Z		GEODETIC_DATUM_ASSUMED_WGS84
1835950938	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69835982	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Ona mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.294774	12.498844	10.0						1991-08-28T00:00:00Z	28	8	1991	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110828213				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:28:12.148Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
