STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
025500,99999, 19770701,   53.3,24,   50.5,24, 9999.9, 0, 9999.9, 0,   6.1,24,   9.7,24,  19.8,  35.0,   57.2 ,  50.0*, 0.39F,999.9, 010000,
025500,99999, 19770705,   65.5,24,   53.4,24, 9999.9, 0, 9999.9, 0,   7.6,24,  12.7,24,  18.8,  26.8,   75.2 ,  59.0 , 0.00F,999.9, 010000,
025500,99999, 19770710,   66.0,24,   46.2,24, 9999.9, 0, 9999.9, 0,   7.8,24,   3.9,24,  10.9, 999.9,   80.6 ,  44.6 , 0.00F,999.9, 000000,
025500,99999, 19770715,   51.8,24,   37.2,24, 1010.3, 4, 9999.9, 0,  13.5,24,   9.5,24,  16.9,  28.9,   60.8 ,  39.2 , 0.01F,999.9, 010000,
025500,99999, 19770720,   54.7,24,   51.4,24, 9999.9, 0, 9999.9, 0,   6.4,24,   7.6,24,  12.8,  22.0,   60.8*,  50.0 , 0.28F,999.9, 010000,
025500,99999, 19770725,   55.7,24,   49.0,24, 9999.9, 0, 9999.9, 0,   6.6,24,  12.5,24,  17.9,  28.9,   62.6 ,  50.0*, 0.21F,999.9, 010000,
025500,99999, 19770729,   57.2,18,   46.6,18, 1019.5, 5, 9999.9, 0,  15.0,18,   1.3,18,   5.8, 999.9,   66.2 ,  42.8 , 0.00F,999.9, 100000,
025500,99999, 19770801,   58.8,24,   45.5,24, 9999.9, 0, 9999.9, 0,   7.6,24,   3.0,24,   8.0, 999.9,   71.6 ,  42.8 , 0.00F,999.9, 000000,
025500,99999, 19770805,   60.7,24,   48.0,24, 9999.9, 0, 9999.9, 0,   7.8,24,   7.6,24,  11.1, 999.9,   71.6 ,  50.0 , 0.00F,999.9, 000000,
025500,99999, 19770810,   60.1,24,   52.2,24, 9999.9, 0, 9999.9, 0,   8.4,24,   2.0,24,   7.0, 999.9,   68.0 ,  48.2*, 0.01F,999.9, 010000,
025500,99999, 19770815,   55.8,24,   46.3,24, 9999.9, 0, 9999.9, 0,   9.4,24,   7.4,24,  15.0, 999.9,   64.4 ,  44.6*, 0.00F,999.9, 000000,
025500,99999, 19770820,   51.0,24,   41.1,24, 9999.9, 0, 9999.9, 0,   8.1,24,   6.2,24,   9.9, 999.9,   59.0 ,  37.4*, 0.00F,999.9, 100000,
025500,99999, 19770825,   56.4,24,   44.1,24, 9999.9, 0, 9999.9, 0,   9.9,24,   7.5,24,  14.0, 999.9,   66.2 ,  48.2 , 0.00F,999.9, 010000,
025500,99999, 19770829,   55.3,24,   46.3,24, 9999.9, 0, 9999.9, 0,   7.0,24,   9.6,24,  16.9,  24.9,   64.4 ,  48.2 , 0.00F,999.9, 010000,
025500,99999, 19770901,   57.5,24,   48.2,24, 9999.9, 0, 9999.9, 0,   5.1,24,   4.0,24,   8.9, 999.9,   69.8 ,  48.2 , 0.00F,999.9, 100000,
025500,99999, 19770905,   51.6,24,   46.0,24, 9999.9, 0, 9999.9, 0,   7.9,24,  11.9,24,  22.0,  31.9,   59.0 ,  46.4 , 0.04F,999.9, 010000,
025500,99999, 19770910,   44.8,24,   32.8,24, 9999.9, 0, 9999.9, 0,   8.1,24,   6.6,24,  14.0,  23.9,   53.6 ,  32.0 , 0.00F,999.9, 010000,
025500,99999, 19770915,   44.6,24,   29.7,24, 9999.9, 0, 9999.9, 0,   9.9,24,  11.2,24,  19.8,  35.0,   53.6 ,  37.4*, 0.04F,999.9, 010010,
025500,99999, 19770920,   46.2,24,   39.0,24, 9999.9, 0, 9999.9, 0,   6.5,24,   4.0,24,   9.9, 999.9,   57.2 ,  33.8 , 0.00F,999.9, 100000,
025500,99999, 19770925,   42.9,24,   33.4,24, 9999.9, 0, 9999.9, 0,   6.0,24,   2.7,24,   8.0, 999.9,   55.4 ,  28.4 , 0.00F,999.9, 100000,
025500,99999, 19770929,   47.8,24,   42.0,24, 9999.9, 0, 9999.9, 0,   6.0,24,  15.1,24,  22.9,  37.9,   53.6 ,  42.8*, 0.39F,999.9, 010000,
025500,99999, 19771001,   42.4,24,   40.0,24, 9999.9, 0, 9999.9, 0,   6.4,24,  14.6,24,  28.0,  42.9,   48.2 ,  37.4*, 0.39F,999.9, 010000,
025500,99999, 19771005,   47.8,24,   44.7,24, 9999.9, 0, 9999.9, 0,   6.9,24,  10.5,24,  18.8,  24.9,   51.8 ,  41.0 , 0.56F,999.9, 010000,
025500,99999, 19771010,   53.2,24,   51.7,24, 9999.9, 0, 9999.9, 0,   2.1,24,   3.7,24,   5.8, 999.9,   57.2 ,  51.8 , 0.16F,999.9, 110000,
025500,99999, 19771015,   43.5,24,   38.7,24, 9999.9, 0, 9999.9, 0,   6.9,24,   5.8,24,  10.9, 999.9,   48.2 ,  41.0 , 0.00F,999.9, 010000,
025500,99999, 19771020,   41.5,24,   40.5,24, 9999.9, 0, 9999.9, 0,   1.7,24,   6.4,24,   9.9, 999.9,   44.6 ,  37.4 , 0.00F,999.9, 110000,
025500,99999, 19771025,   49.8,24,   46.8,24, 9999.9, 0, 9999.9, 0,   5.4,24,  10.1,24,  15.0, 999.9,   51.8 ,  46.4*, 0.02F,999.9, 010000,
025500,99999, 19771029,   45.6,24,   38.5,24, 9999.9, 0, 9999.9, 0,   6.4,24,   7.5,24,  17.9,  30.9,   51.8 ,  39.2*, 0.00F,999.9, 010000,
025500,99999, 19771101,   46.5,24,   43.4,24, 9999.9, 0, 9999.9, 0,   5.4,24,   9.4,24,  18.8,  26.8,   51.8 ,  42.8*, 0.12F,999.9, 010000,
025500,99999, 19771105,   43.0,23,   39.8,23, 9999.9, 0, 9999.9, 0,   7.1,23,  11.1,23,  15.9,  29.9,   48.2 ,  39.2 , 0.04F,999.9, 010000,
025500,99999, 19771110,   42.9,24,   37.2,24, 9999.9, 0, 9999.9, 0,   6.3,24,   7.8,24,  15.9,  24.9,   46.4 ,  37.4*, 0.00F,999.9, 010000,
025500,99999, 19771115,   37.6,22,   36.4,22, 9999.9, 0, 9999.9, 0,   5.5,22,   4.5,22,  12.8, 999.9,   39.2 ,  35.6 , 0.20F,999.9, 010000,
025500,99999, 19771120,   38.6,24,   37.0,24, 9999.9, 0, 9999.9, 0,   5.4,24,  10.7,24,  18.8,  28.0,   41.0 ,  24.8 , 1.02F,999.9, 010000,
025500,99999, 19771125,   30.3,23,   28.7,23, 9999.9, 0, 9999.9, 0,   3.5,22,  12.5,23,  18.8,  26.8,   35.6 ,  26.6*, 0.20F,999.9, 011001,
025500,99999, 19771129,   28.4,24,   26.6,24, 9999.9, 0, 9999.9, 0,   8.1,24,   3.3,24,   9.9, 999.9,   33.8 ,  21.2*, 0.00F,  1.2, 100000,
025500,99999, 19771201,   27.9,24,   26.4,24, 9999.9, 0, 9999.9, 0,   4.2,24,   2.3,24,  19.8, 999.9,   30.2 ,  24.8*, 0.00F,  1.2, 100000,
025500,99999, 19771205,   28.6,24,   27.9,24, 9999.9, 0, 9999.9, 0,   3.4,24,   9.3,24,  16.9,  31.9,   32.0*,  26.6 , 0.01F,  1.2, 111000,
025500,99999, 19771210,   28.2,23,   22.1,23, 9999.9, 0, 9999.9, 0,   7.4,23,  14.5,23,  18.8,  32.8,   32.0*,  26.6*, 0.00F,  1.2, 000000,
025500,99999, 19771215,   37.9,24,   36.1,24, 9999.9, 0, 9999.9, 0,   3.6,24,  10.7,24,  16.9,  26.8,   42.8 ,  28.4 , 0.01F,999.9, 110000,
025500,99999, 19771220,   35.7,24,   31.6,24, 9999.9, 0, 9999.9, 0,   5.8,24,   4.5,24,  14.0,  26.8,   41.0 ,  30.2*, 0.00F,999.9, 110000,
025500,99999, 19771225,   33.4,24,   30.4,24, 9999.9, 0, 9999.9, 0,   5.9,24,   9.0,24,  16.9,  23.9,   33.8*,  32.0*, 0.12F,999.9, 101000,
025500,99999, 19771229,   25.3,24,   23.8,24, 9999.9, 0, 9999.9, 0,   3.3,24,   8.2,24,  15.9,  24.9,   32.0*,  23.0 , 0.02F,  3.9, 011000,
025500,99999, 19780101,   29.1,24,   26.4,24, 9999.9, 0, 9999.9, 0,   8.1,24,  14.4,24,  23.9,  44.9,   39.2 ,  10.4 , 0.12F,  4.3, 011000,
025500,99999, 19780105,   22.2,24,   19.4,24, 9999.9, 0, 9999.9, 0,   5.9,24,  11.1,24,  22.0,  34.0,   32.0*,  12.2 , 0.01F,  6.3, 011000,
025500,99999, 19780110,   32.9,24,   30.5,24, 9999.9, 0, 9999.9, 0,   5.4,24,  15.6,24,  19.8,  35.0,   33.8 ,  28.4 , 0.13F,999.9, 011000,
